,abbreviation,parent_abbreviation,0
0,WHS,DoD,4299
1,USPTO,DOC,3650
2,OIG,DOT,2715
3,ICE,DHS,2284
4,Civil Rights,DOJ,2094
5,BPA,DOE,1925
6,USCIS,DHS,1554
7,NHTSA,DOT,1346
8,FCSC,DOJ,1225
9,FBI,DOJ,1092
10,TSA,DHS,704
11,FHWA,DOT,615
12,Antitrust,DOJ,550
13,FTC,AGENCY,532
14,DEA,DOJ,488
15,CBP,DHS,455
16,COPS,DOJ,447
17,SSA,AGENCY,337
18,FTA,DOT,325
19,DOL,AGENCY,298
20,CEN,DOC,291
21,Civil,DOJ,268
22,ARC,NASA,265
23,USNCB,DOJ,258
24,NIH,HHS,240
25,ODNI,AGENCY,216
26,CBFO,DOE,203
27,RMA,USDA,193
28,NNSA,DOE,191
29,NPS,DOI,189
30,ENRD,DOJ,185
31,FS,USDA,163
32,NASA,AGENCY,160
33,OIG,DHS,136
34,GSA,AGENCY,130
35,FEMA,DHS,127
36,ATF,DOJ,122
37,CISA,DHS,99
38,EOUSA,DOJ,98
39,EOIR,DOJ,97
40,MARAD,DOT,95
41,EOUST,DOJ,87
42,DoED,AGENCY,86
43,USPS,AGENCY,81
44,ID,DOE,79
45,NARA,AGENCY,77
46,OST,DOT,64
47,CIGIE,AGENCY,61
48,USCG,DHS,61
49,USSS,DHS,58
50,EAC,AGENCY,57
51,CYBERCOM,DoD,56
52,CFTC,AGENCY,54
53,HUD,AGENCY,52
54,OLC,DOJ,51
55,OSG,DOJ,51
56,USFW,DOI,47
57,PHMSA,DOT,47
58,OGE,AGENCY,44
59,Treasury,AGENCY,42
60,NOAA,DOC,39
61,SEC,AGENCY,39
62,CFPB,AGENCY,38
63,Criminal,DOJ,36
64,NGA,DoD,36
65,FDIC,AGENCY,35
66,Census,DOC,34
67,OALC,VA,34
68,FPS,DHS,32
69,OS,DOC,32
70,DIA,DoD,31
71,TRANSCOM,DoD,30
72,IHS,HHS,30
73,FCC,AGENCY,29
74,OSTI,DOE,26
75,DTIC,DoD,25
76,ACL,HHS,24
77,DTRA,DoD,24
78,OIG,DOC,23
79,RD,USDA,22
80,IMLS,AGENCY,21
81,OGC,DHS,20
82,HRSA,HHS,19
83,NLRB,AGENCY,18
84,TAX,DOJ,18
85,PC,AGENCY,17
86,SIGAR,AGENCY,17
87,Amtrak,AGENCY,17
88,MSPB,AGENCY,15
89,EDA,DOC,15
90,FLRA,AGENCY,15
91,DEA,AGENCY,14
92,TVA,AGENCY,14
93,NEA,AGENCY,14
94,DoDEA,DoD,13
95,FMSHRC,AGENCY,13
96,DOE,AGENCY,11
97,EMCBC,DOE,11
98,Americorps,AGENCY,11
99,EPA,AGENCY,11
100,ACUS,AGENCY,11
101,CMS,HHS,10
102,S&T,DHS,10
103,OIG,NASA,9
104,AMS,USDA,9
105,Staff Office,USDA,9
106,SBA,AGENCY,9
107,OIG,DOJ,9
108,OIG,GSA,9
109,OSHRC,AGENCY,9
110,DCAA,DoD,8
111,MBDA,DOC,8
112,OIG,DoED,8
113,NCUA,AGENCY,7
114,ARS,USDA,7
115,PARDON,DOJ,7
116,FERC,AGENCY,7
117,FHFA,AGENCY,7
118,FMCSA,DOT,7
119,GLS,DOT,6
120,GFO,DOE,6
121,I&A,DHS,6
122,OIG,DOS,5
123,CIA,AGENCY,5
124,CRD,DOJ,5
125,RRB,AGENCY,5
126,DLA,DoD,5
127,OSTP,EOP,5
128,USTR,AGENCY,5
129,NAVY,DoD,5
130,EUCOM,DoD,4
131,BIA,DOI,4
132,CoEC,AGENCY,4
133,OPR,DOJ,4
134,FRTIB,AGENCY,3
135,BOEM,DOI,3
136,USMC,DoD,3
137,NSD,DOJ,3
138,BOR,DOI,2
139,NETL,DOE,2
140,DNFSB,AGENCY,2
141,Fed,AGENCY,2
142,GRC,NASA,1
143,FCA,AGENCY,1
144,APHIS,USDA,1
145,NSF,AGENCY,1
146,OMB,AGENCY,1
147,IRS,Treasury,1
148,NMB,AGENCY,1
149,FNS,USDA,1
150,OVW,DOJ,1
151,NEH,AGENCY,1
152,FRA,DOT,1
